BasePO:element:217 | Wait for: By.id: topcartlink...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.chained({By.cssSelector: ul.top-menu,By.linkText: APPAREL & SHOES})...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.id: products-orderby...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.id: products-pagesize...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.id: products-pagesize...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.id: products-pagesize...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.id: products-pagesize...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.cssSelector: li.next-page...
BasePO:element:227 | Found after: 0 seconds.
BasePO:findElements:92 | Wait for: By.cssSelector: div.item-box div img...
BasePO:findElements:98 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.cssSelector: div.product-essential input[value='Add to cart']...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.id: topcartlink...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.chained({By.cssSelector: ul.top-menu,By.linkText: APPAREL & SHOES})...
BasePO:element:227 | Found after: 0 seconds.
BasePO:findElements:92 | Wait for: By.cssSelector: div.item-box div img...
BasePO:findElements:98 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.cssSelector: div.product-essential input[value='Add to cart']...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.id: topcartlink...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.chained({By.cssSelector: ul.top-menu,By.linkText: COMPUTERS})...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.chained({By.cssSelector: ul.top-menu,By.linkText: Notebooks})...
BasePO:element:227 | Found after: 0 seconds.
BasePO:findElements:92 | Wait for: By.cssSelector: div.item-box div img...
BasePO:findElements:98 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.cssSelector: div.product-essential input[value='Add to cart']...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.id: topcartlink...
BasePO:element:227 | Found after: 0 seconds.
BasePO:findElements:92 | Wait for: By.chained({By.cssSelector: div.block.block-category-navigation,By.tagName: a})...
BasePO:findElements:98 | Found after: 0 seconds.
BasePO:findElements:92 | Wait for: By.chained({By.cssSelector: div.block.block-category-navigation,By.cssSelector: ul.sublist,By.tagName: a})...
BasePO:findElements:98 | Found after: 0 seconds.
BasePO:findElements:92 | Wait for: By.cssSelector: div.item-box div img...
BasePO:findElements:98 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.cssSelector: div.product-essential input[value='Add to cart']...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.id: topcartlink...
BasePO:element:227 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.chained({By.cssSelector: ul.top-menu,By.linkText: DIGITAL DOWNLOADS})...
BasePO:element:227 | Found after: 0 seconds.
BasePO:findElements:92 | Wait for: By.cssSelector: div.item-box div img...
BasePO:findElements:98 | Found after: 0 seconds.
BasePO:element:217 | Wait for: By.cssSelector: div.product-essential input[value='Add to cart']...
